Effective Time (UTC),Curve Type,Price,Adjustment,Cost
2026-05-22 12:30,Intra Day,$3.6530,$0.0400,$3.6130
2026-05-22 18:00,End Of Day,$3.5989,$0.0400,$3.5589
2026-05-26 12:30,Intra Day,$3.5443,$0.0400,$3.5043
2026-05-26 18:00,End Of Day,$3.5032,$0.0375,$3.4657
2026-05-27 12:30,Intra Day,$3.4611,$0.0250,$3.4361
2026-05-27 18:00,End Of Day,$3.4136,$0.0250,$3.3886
2026-05-28 12:30,Intra Day,$3.4186,$0.0250,$3.3936
2026-05-28 18:00,End Of Day,$3.4398,$0.0250,$3.4148
2026-05-29 12:30,Intra Day,$3.4490,$0.0350,$3.4140
